the_geom,PMAID,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-122.3501169677836 47.69275267798292, -122.35011619589828 47.69271159050631, -122.35009803801282 47.692711745803486, -122.35009753047113 47.6926847777746, -122.35011579090471 47.692684621112534, -122.35011523626154 47.69265508172756, -122.35012237319181 47.69265500473494, -122.35012219105116 47.692647351484176, -122.35015740942148 47.6926469691217, -122.35015728938085 47.692642857705756, -122.35021808366925 47.69264219699815, -122.35021820371468 47.692646308414055, -122.35025941212811 47.692645860687406, -122.35025936267094 47.692641748331994, -122.35031538303048 47.69264113941915, -122.35031561496452 47.69264524934575, -122.35033687252752 47.69264501856915, -122.3503389335622 47.69264605987095, -122.35033964045482 47.69268281659474, -122.35035747195735 47.692682663804185, -122.35035796441242 47.69270883677994, -122.35034052453707 47.692708986156745, -122.3503413001257 47.69275024001262, -122.3501169677836 47.69275267798292)))",4408,2242.95542505,210.53679599,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.32025338043539 47.644064067025575, -122.3202526629163 47.644071001803155, -122.32025017656849 47.64407774739311, -122.32024599674858 47.64408409934741, -122.32024025013966 47.64408986514832, -122.32023311091196 47.6440948700435, -122.32022479544392 47.64409896234242, -122.32021555576421 47.64410201801385, -122.32020567191306 47.64410394444512, -122.32019544345472 47.64410468324906, -122.32018518039793 47.64410421203372, -122.32017519380011 47.644102545080834, -122.32016578633959 47.6440997329132, -122.32015724314186 47.6440958607633, -122.32014982313771 47.64409104598993, -122.32014375121554 47.64408543452139, -122.32013921140533 47.64407919643246, -122.32013634130098 47.64407252078976, -122.32013522789012 47.644065609921405, -122.32013594542481 47.64405867514458, -122.32013843178652 47.6440519295571, -122.32014261161697 47.64404557760676, -122.32014835823183 47.64403981181077, -122.32015549746012 47.64403480692087, -122.32016381292335 47.64403071462702, -122.32017305259345 47.644027658959786, -122.32018293643128 47.64402573253135, -122.32019316487431 47.64402499372851, -122.32020342791553 47.644025464943155, -122.32021341449945 47.64402713189356, -122.32022282194939 47.644029944057245, -122.32023136514118 47.644033816202246, -122.32023878514472 47.64403863097031, -122.3202448570717 47.644044242433786, -122.32024939689151 47.644050480518516, -122.32025226700917 47.64405715615837, -122.32025338043539 47.644064067025575)))",379,664.82437421,91.40245759,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28611298330624 47.56233549015052, -122.28631725115527 47.56233498195108, -122.28631852175704 47.56256885220343, -122.28611425301598 47.56256936130437, -122.28611298330624 47.56233549015052)))",423,4302.3668556,271.48259867,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.2744988759043 47.69718007246565, -122.27453826115988 47.69723875952965, -122.27445580485347 47.69726427911628, -122.27444535511178 47.69726739878483, -122.27444502735561 47.69726749648643, -122.2743700763683 47.69728986789969, -122.2743332806863 47.69723210520647, -122.27434088982011 47.69721919349001, -122.27435159188856 47.697207323358114, -122.27436508512386 47.69719682951244, -122.2743809890565 47.69718800784734, -122.27439885524336 47.69718110710663, -122.27441817991244 47.69717632186992, -122.27443841816756 47.69717378706606, -122.27445899935267 47.69717357416868, -122.27447934314219 47.697175689180796, -122.2744988759043 47.69718007246565)))",347,1365.91056462,142.60495994,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.36317283867056 47.561424171891076, -122.3631777076833 47.56123202407371, -122.36337582137394 47.56123343573656, -122.36337249925968 47.56142668457276, -122.36317283867056 47.561424171891076)))",450,3452.31043197,238.81556481,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30862983733016 47.56933707821244, -122.30867252641589 47.56933040698985, -122.30870667804166 47.56944282892222, -122.30872029929412 47.569493039830654, -122.308633767459 47.569504801366044, -122.30830959194121 47.56955018028202, -122.30826067736723 47.569389198472706, -122.30862983733016 47.56933707821244)))",114,6237.15511209,327.85225325,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.38329032593319 47.684571390588154, -122.38331892844947 47.68455462219535, -122.38350308527332 47.68455235636385, -122.3835049750535 47.68462235237338, -122.38329177117681 47.684624975527434, -122.38329032593319 47.684571390588154)))",289,1319.85239122,152.30758154,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.3495267308595 47.53972566006852, -122.34977801062624 47.5396791543743, -122.34983743523973 47.53982740641847, -122.34958803612346 47.5398723640972, -122.3495267308595 47.53972566006852)))",463,3575.09159535,239.737543,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.2770512490814 47.53675887296209, -122.27705088629588 47.53674314183702, -122.27709247233214 47.53674270161047, -122.27736743104575 47.53673979237361, -122.27739561458041 47.53673949447318, -122.27739647439755 47.53673945835731, -122.277396838035 47.536755216459675, -122.2773998086597 47.53688393250608, -122.27705421754969 47.536887589933706, -122.2770512490814 47.53675887296209)))",403,4499.00855183,276.15454873,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28618119286963 47.537873852866504, -122.2861828999641 47.537830496500696, -122.28620689677142 47.53764609772598, -122.28620884551542 47.53761217145527, -122.2862112204542 47.53761058748315, -122.28623084616203 47.53759421754625, -122.28623120601212 47.53759392597328, -122.28645944021818 47.537605177943895, -122.28642963488389 47.537846499368236, -122.28642741434976 47.53787253244767, -122.28618119286963 47.537873852866504)))",429,6111.27794668,319.57970681,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28436330749084 47.519551901058946, -122.2843642357419 47.519552377682736, -122.28436495407189 47.51955275533358, -122.28436586679335 47.519553246549265, -122.28437319822972 47.51955793471201, -122.28437944177628 47.519563297155806, -122.28438446387867 47.519569219174016, -122.28438815710999 47.51957557409034, -122.2843919312822 47.51958835083876, -122.28439327761433 47.51960134891979, -122.28439217426701 47.5196143575038, -122.28423077820689 47.51960437623183, -122.28423127883454 47.51959247551672, -122.28423444233108 47.51958076442813, -122.28424019526884 47.5195695147847, -122.28424840411846 47.51955898769457, -122.2842587477004 47.519552571617275, -122.2842704885395 47.519547374909045, -122.28428331669902 47.519543534753346, -122.28429689353925 47.5195411525231, -122.2843108606569 47.51954029110475, -122.28432484934623 47.51954097323812, -122.28433849033198 47.519543180916195, -122.28435142351758 47.519546855860355, -122.28436330749084 47.519551901058946)))",436,844.18852081,113.70068457,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.29588097246601 47.59971171133021, -122.2958835804217 47.59959205353067, -122.29610081643236 47.59959481197968, -122.29609670439012 47.599713985354015, -122.29588097246601 47.59971171133021)))",363,2327.25234758,193.97046563,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.39155113369131 47.64023436705231, -122.39155302046329 47.64034500267975, -122.39152179599104 47.64034524650252, -122.39150776436352 47.64034359760769, -122.39149436404495 47.64034033737557, -122.39148199689467 47.64033556357664, -122.39147103378832 47.64032941937139, -122.39146180349572 47.640322089017126, -122.3914545828212 47.640313792342184, -122.39144958830295 47.640304778153606, -122.39144696971907 47.640295316775656, -122.39144680559632 47.64028569194309, -122.39144910085518 47.640276192292255, -122.39145378666251 47.640267102705394, -122.39146072249584 47.64025869576726, -122.39146970035779 47.64025122359074, -122.39148045101346 47.64024491025638, -122.39149265206471 47.64023994509254, -122.3915059376183 47.6402364769977, -122.39151990925849 47.64023460997527, -122.39155113369131 47.64023436705231)))",318,876.90993707,115.51747228,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28384219769819 47.67526886858901, -122.28407055923768 47.67526963312071, -122.2840778461516 47.675269818164125, -122.28408497518974 47.67527085373555, -122.2840917303928 47.67527270846452, -122.2840979071261 47.67527532616593, -122.28410331827838 47.67527862754201, -122.28416639583897 47.67532017184676, -122.284164344278 47.67531916232758, -122.28416207836581 47.67531838968099, -122.28415965751928 47.675317874167334, -122.28415714521797 47.675317629304466, -122.28415460733953 47.67531766151315, -122.2841521104323 47.675317969948836, -122.28414971997033 47.675318546523705, -122.28414749863641 47.67531937611877, -122.28414550467843 47.67532043698039, -122.28406495263148 47.67537425904876, -122.28405983384077 47.675376693464116, -122.28405421679042 47.675378560636624, -122.28404823815208 47.67537981513505, -122.28404204339529 47.675380426435474, -122.28403578324823 47.675380379664034, -122.28402961003006 47.67537967595872, -122.28402367394486 47.675378332441795, -122.28401811942689 47.675376381803126, -122.28401308162616 47.6753738715048, -122.28384219769819 47.67526886858901)))",482,1790.46992899,191.32308336,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
