the_geom,PMAID,LINK_1,LINK_2,ALT_NAME,DESCRIPTIO,LOCATION_I,POINT_X,POINT_Y,GIS_EDT_DT,LATITUDE,LONGITUDE,PARK
POINT (-122.2548373848284 47.551239384385234),428,,,Seward Park Upper CS,Closed in Winter,,1289400.72493315,204317.59507728,11/30/1899 12:00:00 AM +0000,204317.59507728,1289400.72493315,SEWARD PARK
POINT (-122.37746990492454 47.71299200403544),240,,,Carkeek Park CS,Open Year Round,,1260306.43139935,263890.97331429,11/30/1899 12:00:00 AM +0000,263890.97331429,1260306.43139935,CARKEEK PARK
POINT (-122.28978395725946 47.61129601874189),371,,,Madrona PG SH,Closed in Winter,,1281186.85881273,226381.58965987,11/30/1899 12:00:00 AM +0000,226381.58965987,1281186.85881273,MADRONA PLAYGROUND
POINT (-122.33189014930367 47.621848290373805),350,,,Cascade PG CS,Open Year Round,,1270877.71672218,230429.35228801,11/30/1899 12:00:00 AM +0000,230429.35228801,1270877.71672218,CASCADE PLAYGROUND
POINT (-122.3167103758089 47.68937541074847),3881,,,Maple Leaf PG SH,Closed in Winter,,1275095.28696649,254983.83007316,11/30/1899 12:00:00 AM +0000,254983.83007316,1275095.28696649,MAPLE LEAF RESERVOIR PARK
POINT (-122.31723454632747 47.6303207615965),399,,,Volunteer Park Bandstand CS,Closed in Winter,,1274550.87538193,233449.2107231,11/30/1899 12:00:00 AM +0000,233449.2107231,1274550.87538193,VOLUNTEER PARK
POINT (-122.2808041483689 47.679733401873335),444,,,Viewridge PF SH,Open Year Round,,1283870.95417549,251298.98635739,11/30/1899 12:00:00 AM +0000,251298.98635739,1283870.95417549,VIEW RIDGE PLAYFIELD
POINT (-122.32614021967308 47.72064519451646),361,,,Northacres Park PF CS,Closed in Winter,,1272994.46866034,266432.75859688,11/30/1899 12:00:00 AM +0000,266432.75859688,1272994.46866034,NORTHACRES PARK
POINT (-122.41840294210685 47.65449816911286),310,,,Disco Park South Bluff CS,Open Year Round,,1249792.17718059,242763.79082865,11/30/1899 12:00:00 AM +0000,242763.79082865,1249792.17718059,DISCOVERY PARK
POINT (-122.34374270634738 47.52208155409174),468,,,Westcrest Park CS S,Open Year Round,,1267241.09111846,194102.08633082,11/30/1899 12:00:00 AM +0000,194102.08633082,1267241.09111846,WESTCREST PARK
POINT (-122.34321510198262 47.67204405540818),307,,,Green Lake Park Sml Craft Ctr Sh,Open Year Round,,1268444.59063968,248790.10193881,11/30/1899 12:00:00 AM +0000,248790.10193881,1268444.59063968,GREEN LAKE PARK
POINT (-122.34070483483733 47.66641461979557),292,,,City-wide Athletics Office,Open Year Round,,1269022.71844828,246724.94660871,11/30/1899 12:00:00 AM +0000,246724.94660871,1269022.71844828,WOODLAND PARK
POINT (-122.34897208038836 47.72362714347702),288,,,Bitter Lake PF CS,Open Year Round,,1267397.04087861,267630.10560611,11/30/1899 12:00:00 AM +0000,267630.10560611,1267397.04087861,BITTER LAKE PLAYFIELD
POINT (-122.28606292448346 47.562252283677026),423,,,Rainier PF CS,Open Year Round,,1281766.84946933,208477.98932153,11/30/1899 12:00:00 AM +0000,208477.98932153,1281766.84946933,RAINIER PLAYFIELD
POINT (-122.37909041975239 47.64723864158556),3887,,,Interbay PF SH,Open Year Round,,1259425.84919044,239919.22666574,11/30/1899 12:00:00 AM +0000,239919.22666574,1259425.84919044,INTERBAY ATHLETIC FIELD
POINT (-122.25632042177891 47.549987806258336),428,,,Seward Park Main Entrance CS,Open Year Round,,1289026.11507677,203867.90931682,11/30/1899 12:00:00 AM +0000,203867.90931682,1289026.11507677,SEWARD PARK
POINT (-122.3974893169596 47.633387181152536),317,,,Magnolia Park CS,Closed in Winter,,1254788.9112657,234959.36547665,11/30/1899 12:00:00 AM +0000,234959.36547665,1254788.9112657,MAGNOLIA PARK
POINT (-122.31219746627022 47.67226724737207),483,,,Cowen Park CS,Closed in Winter,,1276086.66002351,248723.11486675,11/30/1899 12:00:00 AM +0000,248723.11486675,1276086.66002351,COWEN PARK
POINT (-122.38739421213528 47.64375585568459),303,,,Bayview PG CS,Closed in Winter,,1257353.79491633,238690.30557647,11/30/1899 12:00:00 AM +0000,238690.30557647,1257353.79491633,BAYVIEW PLAYGROUND
POINT (-122.33981359115526 47.68211688682263),307,,,Green Lake Pk Bathhouse Theater,Open Year Round,,1269354.39524862,252447.20127057,11/30/1899 12:00:00 AM +0000,252447.20127057,1269354.39524862,GREEN LAKE PARK
POINT (-122.38073778263902 47.58934180357316),455,,,,Closed in Winter,,1258595.2532856,218812.89979611,11/30/1899 12:00:00 AM +0000,218812.89979611,1258595.2532856,SEACREST PARK
POINT (-122.29569338516507 47.53926260220906),431,,,Van Asselt CS,Closed in Winter,,1279230.22578673,200138.704769,11/30/1899 12:00:00 AM +0000,200138.704769,1279230.22578673,VAN ASSELT PLAYGROUND
POINT (-122.34490019894805 47.52510856401081),468,,,Westcrest Park CS N,Open Year Round,,1266976.83319817,195211.63538796,11/30/1899 12:00:00 AM +0000,195211.63538796,1266976.83319817,WESTCREST PARK
