Longitude,Latitude,hour,month,weekday,park
-122.299591596,47.621169483,22,7,6,123
-122.364397095,47.539955932,23,7,6,34
-122.299158732,47.579672245,0,7,0,102
-122.33982362,47.614111324,21,7,6,104
-122.336165513,47.616053297,23,7,6,107
-122.331124149,47.601717571,20,7,6,102
-122.347534379,47.616911063,21,7,6,93
-122.366327268,47.636856401,23,7,6,74
-122.28848474,47.551195016,0,7,0,58
-122.30949685,47.615862548,10,7,0,134
-122.31263652,47.622595269,0,7,0,128
-122.327352963,47.61686239,1,7,0,116
-122.332798948,47.611838463,1,7,0,109
-122.353746454,47.615306354,1,7,0,78
-122.297437773,47.698419136,2,7,0,48
-122.241392322,47.502193528,3,7,0,13
-122.304888772,47.585501595,3,7,0,110
-122.337968138,47.612423454,4,7,0,102
-122.363648538,47.724181813,3,7,0,18
-122.376802784,47.689666737,3,7,0,47
-122.330415001,47.619197972,3,7,0,112
-122.323016077,47.611212499,3,7,0,117
-122.342025767,47.650528094,7,7,0,106
-122.30883884,47.617023063,4,7,0,137
-122.333003312,47.623692344,4,7,0,116
-122.31263652,47.622595269,4,7,0,128
-122.359335864,47.622701733,5,7,0,69
-122.281736013,47.537963086,6,7,0,44
-122.328568388,47.608890236,7,7,0,110
-122.353933392,47.630997711,8,7,0,83
-122.344441907,47.608901462,5,7,0,91
-122.353746454,47.615306354,6,7,0,78
-122.275844233,47.525186062,7,7,4,33
-122.282237113,47.526106538,0,7,0,33
-122.347001982,47.660979279,11,7,0,92
-122.325383164,47.712243475,11,7,0,37
-122.305366011,47.578956906,8,7,0,101
-122.31627368,47.619941504,9,7,0,128
-122.386659764,47.578324393,9,7,0,41
-122.334997621,47.606693823,9,7,0,100
-122.269990445,47.520556161,9,7,0,28
-122.320372511,47.552719459,9,7,0,47
-122.337338755,47.60925298,10,7,0,100
-122.339358071,47.609781733,10,7,0,100
-122.341959547,47.610682001,10,7,0,92
-122.31545356,47.608637295,11,7,0,123
-122.276207338,47.691816481,11,7,0,26
-122.337320426,47.611321241,11,7,0,104
-122.315680051,47.599199533,11,7,0,122
-122.325887591,47.642610571,12,7,0,119
-122.34242492,47.615648964,12,7,0,102
-122.337338755,47.60925298,10,7,0,100
-122.316253195,47.637238494,10,7,0,120
-122.298568221,47.619550404,10,7,0,118
-122.317464075,47.681894279,11,7,0,72
-122.269259294,47.519919187,12,7,0,28
-122.386659764,47.578324393,12,7,0,41
-122.35959588,47.541020772,12,7,0,30
-122.276498359,47.534305684,8,7,0,36
-122.346311227,47.619150256,9,7,0,95
-122.334215478,47.552307813,10,7,0,36
-122.269987874,47.522815641,15,7,0,28
-122.354751201,47.624576885,15,7,0,80
-122.300533339,47.601663966,15,7,0,116
-122.338146748,47.610975163,15,7,0,101
-122.33420945,47.57270299,16,7,0,62
-122.322256048,47.685316632,16,7,0,66
-122.331082201,47.602412413,14,7,0,103
-122.338146748,47.610975163,14,7,0,101
-122.333633701,47.621986658,12,7,0,114
-122.325308912,47.622561853,16,7,0,115
-122.314168862,47.667499673,2,5,4,80
-122.321145566,47.606647066,12,7,0,117
-122.344520045,47.690199289,12,7,0,53
-122.303098808,47.618795464,12,7,0,132
-122.278887399,47.51520312,13,7,0,23
-122.303098808,47.618795464,13,7,0,132
-122.297836427,47.577937946,14,7,0,98
-122.331082201,47.602412413,14,7,0,103
-122.329607002,47.723171069,14,7,0,28
-122.379642085,47.663389682,14,7,0,66
-122.398864344,47.585411366,16,7,0,39
-122.355409279,47.623924885,13,7,0,79
-122.324848141,47.606500801,13,7,0,113
-122.314864127,47.661280781,14,7,0,88
-122.385221291,47.654774973,15,7,0,67
-122.316845009,47.614683851,16,7,0,125
-122.344996835,47.725035552,16,7,0,19
-122.334180061,47.601302761,17,7,0,95
-122.359974846,47.624595391,17,7,0,70
-122.330976348,47.598286962,17,7,0,98
-122.334918449,47.611639429,18,7,0,103
